Campaign,Download Name,Downloaded (as of),Send Date,Campaign Name,Audience
03.23.2026 - ST - How to spot beg bug poop - Warm up Day 8,03.23.2026 - ST - How to spot beg bug poop - Warm up Day 8,7/17/2026,3/23/2026,How to spot beg bug poop - Warm up Day 8   ,60-Day HPP
03.20.2026 - ST - How to spot beg bug poop - Warm up Day 7,03.20.2026 - ST - How to spot beg bug poop - Warm up Day 7,7/17/2026,3/20/2026,How to spot beg bug poop - Warm up Day 7   ,60-Day HPP
03.19.2026 - ST - How to spot beg bug poop - Warm up Day 6,03.19.2026 - ST - How to spot beg bug poop - Warm up Day 6,7/17/2026,3/19/2026,How to spot beg bug poop - Warm up Day 6   ,60-Day HPP
03.18.2026 - Spring Pests - What to Expect - Warm up Day 5_ (Non_Gmail 3),03.18.2026 - Spring Pests - What to Expect - Warm up Day 5_ (Non_Gmail 3),7/17/2026,3/18/2026,- What to Expect - Warm up Day 5_ (Non_Gmail 3)   ,30-Day Engaged
03.17.2026 - Spring Pests - What to Expect - Warm up Day 4_ (Non_Gmail 2),03.17.2026 - Spring Pests - What to Expect - Warm up Day 4_ (Non_Gmail 2),7/17/2026,3/17/2026,- What to Expect - Warm up Day 4_ (Non_Gmail 2)   ,30-Day Engaged
03.17.2026 - Spring Pests - What to Expect - Warm up Day 4_ (Gmail),03.17.2026 - Spring Pests - What to Expect - Warm up Day 4_ (Gmail),7/17/2026,3/17/2026,- What to Expect - Warm up Day 4_ (Gmail)    ,30-Day Engaged
03.16.2026 - Spring Pests - What to Expect - Warm up Day 3_ (Non_Gmail 1),03.16.2026 - Spring Pests - What to Expect - Warm up Day 3_ (Non_Gmail 1),7/17/2026,3/16/2026,- What to Expect - Warm up Day 3_ (Non_Gmail 1)   ,30-Day Engaged
03.16.2026 - Spring Pests - What to Expect - Warm up Day 3_ (Gmail),03.16.2026 - Spring Pests - What to Expect - Warm up Day 3_ (Gmail),7/17/2026,3/16/2026,- What to Expect - Warm up Day 3_ (Gmail)    ,30-Day Engaged
03.13.2026 - Spring Pests - What to Expect - Warm up Day 2_ (Gmail),03.13.2026 - Spring Pests - What to Expect - Warm up Day 2_ (Gmail),7/17/2026,3/13/2026,- What to Expect - Warm up Day 2_ (Gmail)    ,30-Day Engaged
03.12.2026 - Spring Pests - What to Expect - Warm up Day 1 _ (Gmail),03.12.2026 - Spring Pests - What to Expect - Warm up Day 1 _ (Gmail),7/17/2026,3/12/2026,- What to Expect - Warm up Day 1 _ (Gmail)   ,30-Day Engaged
02.27.2026- CC Daanyaal ST - HO - Got Unwanted Customers?,(empty),7/17/2026,2/27/2026,- HO - Got Unwanted Customers? [TEST],Test
02.20.2026 - MF - Winback Campaign (Campaign 4) NG Batch #33,02.20.2026 - MF - Winback Campaign (Campaign 4) NG Batch #33,7/17/2026,2/20/2026,Winback Campaign (Campaign 4) NG Batch #33       ,60-Day Cancels
02.20.2026 - MF - Winback Campaign (Campaign 4) NG Batch #32,02.20.2026 - MF - Winback Campaign (Campaign 4) NG Batch #32,7/17/2026,2/20/2026,Winback Campaign (Campaign 4) NG Batch #32       ,60-Day Cancels
02.20.2026 - MF - Winback Campaign (Campaign 4) NG Batch #31,02.20.2026 - MF - Winback Campaign (Campaign 4) NG Batch #31,7/17/2026,2/20/2026,Winback Campaign (Campaign 4) NG Batch #31       ,60-Day Cancels
02.20.2026 - MF - Winback Campaign (Campaign 4) NG Batch #30,02.20.2026 - MF - Winback Campaign (Campaign 4) NG Batch #30,7/17/2026,2/20/2026,Winback Campaign (Campaign 4) NG Batch #30       ,60-Day Cancels
02.20.2026 - MF - Winback Campaign (Campaign 4) NG Batch #29,02.20.2026 - MF - Winback Campaign (Campaign 4) NG Batch #29,7/17/2026,2/20/2026,Winback Campaign (Campaign 4) NG Batch #29       ,60-Day Cancels
02.20.2026 - MF - Winback Campaign (Campaign 4) NG Batch #28,02.20.2026 - MF - Winback Campaign (Campaign 4) NG Batch #28,7/17/2026,2/20/2026,Winback Campaign (Campaign 4) NG Batch #28       ,60-Day Cancels
02.20.2026 - MF - Winback Campaign (Campaign 4) NG Batch #27,02.20.2026 - MF - Winback Campaign (Campaign 4) NG Batch #27,7/17/2026,2/20/2026,Winback Campaign (Campaign 4) NG Batch #27       ,60-Day Cancels
02.20.2026 - MF - Winback Campaign (Campaign 4) NG Batch #26,02.20.2026 - MF - Winback Campaign (Campaign 4) NG Batch #26,7/17/2026,2/20/2026,Winback Campaign (Campaign 4) NG Batch #26       ,60-Day Cancels
02.20.2026 - MF - Winback Campaign (Campaign 4) NG Batch #25,02.20.2026 - MF - Winback Campaign (Campaign 4) NG Batch #25,7/17/2026,2/20/2026,Winback Campaign (Campaign 4) NG Batch #25       ,60-Day Cancels
02.19.2026 - MF - Winback Campaign (Campaign 4) NG Batch #24,02.19.2026 - MF - Winback Campaign (Campaign 4) NG Batch #24,7/17/2026,2/19/2026,Winback Campaign (Campaign 4) NG Batch #24       ,60-Day Cancels
02.19.2026 - MF - Winback Campaign (Campaign 4) NG Batch #23,02.19.2026 - MF - Winback Campaign (Campaign 4) NG Batch #23,7/17/2026,2/19/2026,Winback Campaign (Campaign 4) NG Batch #23       ,60-Day Cancels
02.19.2026 - MF - Winback Campaign (Campaign 4) NG Batch #22,02.19.2026 - MF - Winback Campaign (Campaign 4) NG Batch #22,7/17/2026,2/19/2026,Winback Campaign (Campaign 4) NG Batch #22       ,60-Day Cancels
