"Microsoft Click ID","Conversion Time","Conversion Name","Conversion Value","Conversion Currency",Campaign,Location,"Subscription ID"
72e1a65445601283fc53c1a04ade0082,2025-04-07T17:55:00-0500,"Billable Microsoft Call",980.00,USD,"-All Locations",https://fox-pest.com/local-location/ms/?pest=termite&service=control&loc_interest_ms=&loc_physical_ms=88219&msclkid=72e1a65445601283fc53c1a04ade0082&utm_source=bing&utm_medium=cpc&utm_campaign=-All%20Locations&utm_term=termite%20pest%20control%20companies%20near%20me&utm_content=Termite%20Control,1515688
3af6d4554399166eb5f0b3a077397a84,2025-04-08T14:53:00-0500,"Billable Microsoft Call",770.00,USD,"-All Locations",https://fox-pest.com/local-location/ms/?pest=cockroaches&service=infestations%20removal&loc_interest_ms=&loc_physical_ms=100905&msclkid=3af6d4554399166eb5f0b3a077397a84&utm_source=bing&utm_medium=cpc&utm_campaign=-All%20Locations&utm_term=cockroach%20infestation&utm_content=Cockroach%20Infestation,1516056
d719ce48008313245a97a9bd4d23fb28,2025-04-08T16:28:00-0500,"Billable Microsoft Call",718.00,USD,"-All Locations",https://fox-pest.com/local-location/?pest=rodents&service=removal&loc_interest_ms=&loc_physical_ms=100764&msclkid=d719ce48008313245a97a9bd4d23fb28&utm_source=bing&utm_medium=cpc&utm_campaign=-All%20Locations&utm_term=pest%20exterminator%20services&utm_content=*Pest%20Exterminator,1516146
6c3e5af0392d1e3bd6ae3d0562c7c146,2025-04-08T17:25:00-0500,"Billable Microsoft Call",1246.00,USD,"-All Locations",https://fox-pest.com/local-location/ms/?pest=pest&service=control&loc_interest_ms=94000&loc_physical_ms=94000&msclkid=6c3e5af0392d1e3bd6ae3d0562c7c146&utm_source=bing&utm_medium=cpc&utm_campaign=-All%20Locations&utm_term=local%20pest%20control%20near%20me&utm_content=*Pest%20Control,1516189
0a43b0ffdc1b1fa78e51d70942257949,2025-04-09T16:21:00-0500,"Billable Microsoft Call",1080.00,USD,"-All Locations",https://fox-pest.com/local-location/ms/?pest=rodents&service=treatment&loc_interest_ms=&loc_physical_ms=102205&msclkid=0a43b0ffdc1b1fa78e51d70942257949&utm_source=bing&utm_medium=cpc&utm_campaign=-All%20Locations&utm_term=rodent%20treatment&utm_content=Rodent%20Treatment,1516675
c5ee735b5f291773688714ad9ea3001b,2025-04-09T18:51:00-0500,"Billable Microsoft Call",963.00,USD,"-All Locations",https://fox-pest.com/local-location/ms/?pest=pest&service=control&loc_interest_ms=44837&loc_physical_ms=101311&msclkid=c5ee735b5f291773688714ad9ea3001b&utm_source=bing&utm_medium=cpc&utm_campaign=-All%20Locations&utm_term=professional%20pest%20control&utm_content=*Pest%20Control,1516818
d689cff7ff211d636d46a80025ea173f,2025-04-10T14:51:00-0500,"Billable Microsoft Call",630.00,USD,"-All Locations",https://fox-pest.com/local-location/ms/?pest=pest&service=exterminator&loc_interest_ms=48918&loc_physical_ms=102254&msclkid=d689cff7ff211d636d46a80025ea173f&utm_source=bing&utm_medium=cpc&utm_campaign=-All%20Locations&utm_term=pest%20exterminator%20near%20me&utm_content=*Pest%20Exterminator,1517167
62e5a50238ec1bb3d02fc2f5dad0ad3d,2025-04-10T15:23:00-0500,"Billable Microsoft Call",980.00,USD,"-All Locations",https://fox-pest.com/local-location/ms/?pest=pest&service=exterminator&loc_interest_ms=59429&loc_physical_ms=98181&msclkid=62e5a50238ec1bb3d02fc2f5dad0ad3d&utm_source=bing&utm_medium=cpc&utm_campaign=-All%20Locations&utm_term=exterminator%20near%20me&utm_content=*Exterminator,1517186
968edb3b6a6c190a1f4ebcc270ecfe57,2025-04-11T13:35:00-0500,"Billable Microsoft Call",1535.00,USD,"-All Locations",https://fox-pest.com/local-location/ms/?pest=pest&service=exterminator&loc_interest_ms=&loc_physical_ms=103968&msclkid=968edb3b6a6c190a1f4ebcc270ecfe57&utm_source=bing&utm_medium=cpc&utm_campaign=-All%20Locations&utm_term=pest%20exterminator%20services&utm_content=*Pest%20Exterminator,1517633
6878da7c3a571737c6f3bd8571ac6753,2025-04-11T17:15:00-0500,"Billable Microsoft Call",713.00,USD,"-All Locations",https://fox-pest.com/local-location/ms/?pest=pest&service=exterminator&loc_interest_ms=&loc_physical_ms=91113&msclkid=6878da7c3a571737c6f3bd8571ac6753&utm_source=bing&utm_medium=cpc&utm_campaign=-All%20Locations&utm_term=exterminator%20near%20me&utm_content=*Exterminator,1517822
3ea2505b4d1619aeb15937a224706445,2025-04-11T19:12:00-0500,"Billable Microsoft Call",882.00,USD,"-All Locations Brand",https://fox-pest.com/local-location/ms/?pest=exterminator&service=&loc_interest_ms=&loc_physical_ms=101858&msclkid=3ea2505b4d1619aeb15937a224706445&utm_source=bing&utm_medium=cpc&utm_campaign=-All%20Locations%20Brand&utm_term=fox%20pest%20control&utm_content=Matched%20Fox%20Pest,1517932
51b1ae30a68e19fff0eec9c75f8ee77e,2025-04-10T17:35:00-0500,"Billable Microsoft Call",299.00,USD,"-All Locations",https://fox-pest.com/local-location/ms/?pest=pest&service=exterminator&loc_interest_ms=58633&loc_physical_ms=93655&msclkid=51b1ae30a68e19fff0eec9c75f8ee77e&utm_source=bing&utm_medium=cpc&utm_campaign=-All%20Locations&utm_term=local%20pest%20services&utm_content=*Exterminator,1517315
