customers,zip,branchName
15,21740,"Harrisburg - PA"
15,17370,"Harrisburg - PA"
15,17104,"Harrisburg - PA"
15,17522,"Harrisburg - PA"
15,17222,"Harrisburg - PA"
15,76248,"Dallas Fort Worth Northwest - TX"
15,76034,"Dallas Fort Worth Northwest - TX"
15,75028,"Dallas Fort Worth Northwest - TX"
15,78416,"Corpus Christi - TX"
15,60120,"Chicago South - IL"
15,60185,"Chicago South - IL"
15,60443,"Chicago South - IL"
15,60515,"Chicago South - IL"
15,60062,"Chicago North - IL"
15,60081,"Chicago North - IL"
15,60089,"Chicago North - IL"
15,60025,"Chicago North - IL"
15,01775,"Boston North Shore - MA"
15,01754,"Boston North Shore - MA"
15,01844,"Boston North Shore - MA"
15,01826,"Boston North Shore - MA"
15,01970,"Boston North Shore - MA"
15,70785,"Baton Rouge - LA"
15,12144,"Albany - NY"
14,10579,"Westchester - NY"
14,10977,"Westchester - NY"
14,02771,"Providence - RI"
14,02346,"Providence - RI"
14,02062,"Providence - RI"
14,02817,"Providence - RI"
14,16059,"Pittsburgh - PA"
14,15301,"Pittsburgh - PA"
14,15236,"Pittsburgh - PA"
14,15057,"Pittsburgh - PA"
14,06807,"Oxford - CT"
14,14085,"Orchard Park - NY"
14,14006,"Orchard Park - NY"
14,08077,"New Jersey Central - NJ"
14,08053,"New Jersey Central - NJ"
14,79782,"Midland - TX"
14,03062,"Manchester - NH"
14,11776,"Long Island - NY"
14,11782,"Long Island - NY"
14,11757,"Long Island - NY"
14,11542,"Long Island - NY"
14,40403,"Lexington - KY"
14,06355,"Hartford - CT"
14,06479,"Hartford - CT"
14,06070,"Hartford - CT"
14,06716,"Hartford - CT"
14,17201,"Harrisburg - PA"
14,21093,"Harrisburg - PA"
14,21157,"Harrisburg - PA"
14,17038,"Harrisburg - PA"
14,60538,"Chicago South - IL"
14,60139,"Chicago South - IL"
14,60586,"Chicago South - IL"
14,60013,"Chicago North - IL"
14,60098,"Chicago North - IL"
14,60074,"Chicago North - IL"
14,14301,"Buffalo - NY"
14,14068,"Buffalo - NY"
14,14131,"Buffalo - NY"
14,01741,"Boston North Shore - MA"
14,01832,"Boston North Shore - MA"
14,01810,"Boston North Shore - MA"
14,02420,"Boston North Shore - MA"
14,01845,"Boston North Shore - MA"
14,12211,"Albany - NY"
14,12047,"Albany - NY"
13,10590,"Westchester - NY"
13,10573,"Westchester - NY"
13,10989,"Westchester - NY"
13,12564,"Westchester - NY"
13,10940,"Westchester - NY"
13,13207,"Syracuse - NY"
13,01702,"Providence - RI"
13,02767,"Providence - RI"
13,02766,"Providence - RI"
13,02739,"Providence - RI"
13,01545,"Providence - RI"
13,15147,"Pittsburgh - PA"
13,15010,"Pittsburgh - PA"
13,34491,"Orlando West - FL"
13,14057,"Orchard Park - NY"
13,23663,"Newport News - VA"
13,08610,"New Jersey Central - NJ"
13,08638,"New Jersey Central - NJ"
13,03031,"Manchester - NH"
13,03833,"Manchester - NH"
13,40353,"Lexington - KY"
13,40422,"Lexington - KY"
13,06475,"Hartford - CT"
13,06339,"Hartford - CT"
13,06416,"Hartford - CT"
13,06062,"Hartford - CT"
13,06371,"Hartford - CT"
13,17316,"Harrisburg - PA"
13,17362,"Harrisburg - PA"
13,17102,"Harrisburg - PA"
13,76262,"Dallas Fort Worth Northwest - TX"
13,60192,"Chicago South - IL"
13,60563,"Chicago South - IL"
13,60504,"Chicago South - IL"
13,60430,"Chicago South - IL"
13,60181,"Chicago South - IL"
13,60152,"Chicago North - IL"
13,60087,"Chicago North - IL"
13,01867,"Boston North Shore - MA"
13,01945,"Boston North Shore - MA"
13,02474,"Boston North Shore - MA"
13,02148,"Boston North Shore - MA"
13,01803,"Boston North Shore - MA"
13,61822,"Bloomington - IL"
13,70809,"Baton Rouge - LA"
13,70714,"Baton Rouge - LA"
13,12208,"Albany - NY"
12,12508,"Westchester - NY"
12,10801,"Westchester - NY"
12,10804,"Westchester - NY"
12,10607,"Westchester - NY"
12,10591,"Westchester - NY"
12,23508,"Virginia Beach - VA"
12,14546,"Rochester - NY"
12,02038,"Providence - RI"
12,01504,"Providence - RI"
12,01501,"Providence - RI"
12,02896,"Providence - RI"
12,02721,"Providence - RI"
12,02347,"Providence - RI"
12,02835,"Providence - RI"
12,02769,"Providence - RI"
12,02132,"Providence - RI"
12,15601,"Pittsburgh - PA"
